molecule,smiles,max_abs,loge,max_em,stokes,yield,doi,solvent,dc,etn
BTD-QN,c4cnc3c(Nc1cccc2nsnc12)cccc3c4,445.0,3.94,620.0,175.0,0.2,https://doi.org/10.1016/j.snb.2020.128998,DMSO,46.826,0.444
BTD-QN,c4cnc3c(Nc1cccc2nsnc12)cccc3c4,445.0,2.93,565.0,120.0,0.08,https://doi.org/10.1016/j.snb.2020.128998,H2O,78.3553,1.0
BTD-QN,c4cnc3c(Nc1cccc2nsnc12)cccc3c4,440.0,3.84,575.0,135.0,0.16,https://doi.org/10.1016/j.snb.2020.128998,AcOEt,6.02,0.228
BTD-QN,c4cnc3c(Nc1cccc2nsnc12)cccc3c4,450.0,3.98,615.0,165.0,0.23,https://doi.org/10.1016/j.snb.2020.128998,DCM,8.93,0.309
BTD-QN,c4cnc3c(Nc1cccc2nsnc12)cccc3c4,440.0,3.79,615.0,175.0,0.04,https://doi.org/10.1016/j.snb.2020.128998,ACN,35.688,0.46
BTD-QN,c4cnc3c(Nc1cccc2nsnc12)cccc3c4,440.0,3.89,600.0,155.0,0.5,https://doi.org/10.1016/j.snb.2020.128998,TOL,2.3741,0.099
BTD-QN,c4cnc3c(Nc1cccc2nsnc12)cccc3c4,450.0,3.79,570.0,120.0,0.13,https://doi.org/10.1016/j.snb.2020.128998,EtOH,24.852,0.654
BTD-QN,c4cnc3c(Nc1cccc2nsnc12)cccc3c4,450.0,3.64,595.0,145.0,0.19,https://doi.org/10.1016/j.snb.2020.128998,CFM,4.81,0.259
BTD-QN,c4cnc3c(Nc1cccc2nsnc12)cccc3c4,440.0,3.84,610.0,170.0,0.15,https://doi.org/10.1016/j.snb.2020.128998,MeOH,32.613,0.762
BTD-QN,c4cnc3c(Nc1cccc2nsnc12)cccc3c4,445.0,3.87,610.0,165.0,0.11,https://doi.org/10.1016/j.snb.2020.128998,DMF,36.7,0.386
BTD-QN,c4cnc3c(Nc1cccc2nsnc12)cccc3c4,445.0,3.93,533.0,88.0,0.31,https://doi.org/10.1016/j.snb.2020.128998,CHX,2.02,0.006
BTD-QN,c4cnc3c(Nc1cccc2nsnc12)cccc3c4,440.0,3.88,533.0,93.0,0.32,https://doi.org/10.1016/j.snb.2020.128998,HEX,1.88,0.009
